image,title,rate,data
"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",31. 센과 치히로의 행방불명,"8.6
 (864K)","2001
2h 5m
All"
"https://m.media-amazon.com/images/M/MV5BNGM1ZmZmMzQtOTExMi00YmM3LTg4MzUtZDUyOTE4MTJjN2RiXkEyXkFqcGdeQXVyNDI3NjU1NzQ@._V1_QL75_UY207_CR3,0,140,207_.jpg",32. 피아니스트,"8.5
 (926K)","2002
2h 30m
12"
"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX140_CR0,0,140,207_.jpg",33. Gisaengchung,"8.5
 (982K)","2019
2h 12m
15"
"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",34. 싸이코,"8.5
 (726K)","1960
1h 49m
15"
"https://m.media-amazon.com/images/M/MV5BODU3ODIwZjUtNzZlNC00Y2U3LTlhYTktMDNjN2QxODFhODkzXkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR3,0,140,207_.jpg",35. 글래디에이터,"8.5
 (1.6M)","2000
2h 35m
15"
"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_QL75_UX140_CR0,0,140,207_.jpg",36. 라이온 킹,"8.5
 (1.2M)","1994
1h 28m
All"
"https://m.media-amazon.com/images/M/MV5BMzI0NmVkMjEtYmY4MS00ZDMxLTlkZmEtMzU4MDQxYTMzMjU2XkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_QL75_UX140_CR0,0,140,207_.jpg",37. Spider-Man: Across the Spider-Verse,"8.6
 (391K)","2023
2h 20m
All"
"https://m.media-amazon.com/images/M/MV5BN2QyZGU4ZDctOWMzMy00NTc5LThlOGQtODhmNDI1NmY5YzAwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",38. Dune: Part Two,"8.5
 (491K)","2024
2h 46m
12"
"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY207_CR0,0,140,207_.jpg",39. 디파티드,"8.5
 (1.4M)","2006
2h 31m
15"
"https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",40. 레옹,"8.5
 (1.3M)","1994
1h 50m
18"
"https://m.media-amazon.com/images/M/MV5BNWQ0YjJmMzQtNzU0Ni00YmNkLTljNzEtMDk0Mjg0YzcwNzRhXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UY207_CR6,0,140,207_.jpg",41. 아메리칸 히스토리 X,"8.5
 (1.2M)","1998
1h 59m
18"
"https://m.media-amazon.com/images/M/MV5BZDAwMDIwYzgtMTNiNC00ZGM3LThmZTMtZDQwNTFkNWQyZDQyXkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR3,0,140,207_.jpg",42. 위플래쉬,"8.5
 (1M)","2014
1h 46m
15"
"https://m.media-amazon.com/images/M/MV5BYjIwN2E3NGUtYzA5MC00YjY5LTgxZjYtMmYyMjVkYjQyNGRjXkEyXkFqcGdeQXVyNjc1ODU3OTE@._V1_QL75_UY207_CR4,0,140,207_.jpg",43. 프레스티지,"8.5
 (1.5M)","2006
2h 10m
15"
"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,1,140,207_.jpg",44. 반딧불이의 묘,"8.5
 (316K)","1988
1h 28m
All"
"https://m.media-amazon.com/images/M/MV5BMWNmYzg5NWYtNzhiMS00NzlkLTgyOTUtYzM3MjY0NDc2YjFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR2,0,140,207_.jpg",45. Seppuku,"8.6
 (71K)","1962
2h 13m
Not Rated"
"https://m.media-amazon.com/images/M/MV5BOGRhZTg5YjItMTVjYy00YzA3LThmMGItMWEwMzdhMzdkYTJhXkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR2,0,140,207_.jpg",46. 유주얼 서스펙트,"8.5
 (1.2M)","1995
1h 46m
18"
"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UX140_CR0,2,140,207_.jpg",47. 카사블랑카,"8.5
 (611K)","1942
1h 42m
12"
"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",48. 언터처블: 1%의 우정,"8.5
 (940K)","2011
1h 52m
12"
"https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_QL75_UX140_CR0,0,140,207_.jpg",49. 시네마 천국,"8.5
 (286K)","1988
2h 54m
All"
"https://m.media-amazon.com/images/M/MV5BM2VlMjY3N2UtN2ZjNC00MDg4LWI3ZGQtZmE4NjZkZjkwZmYzXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_QL75_UX140_CR0,0,140,207_.jpg",50. 모던 타임즈,"8.5
 (262K)","1936
1h 27m
All"
"https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",51. 이창,"8.5
 (528K)","1954
1h 52m
15"
"https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",52. 원스 어폰 어 타임 인 더 웨스트,"8.5
 (352K)","1968
2h 46m
15"
"https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,2,140,207_.jpg",53. 에이리언,"8.5
 (963K)","1979
1h 57m
18"
"https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,1,140,207_.jpg",54. City Lights,"8.5
 (198K)","1931
1h 27m
All"
"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX140_CR0,0,140,207_.jpg",55. 장고: 분노의 추적자,"8.5
 (1.7M)","2012
2h 45m
18"
"https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,4,140,207_.jpg",56. 지옥의 묵시록,"8.4
 (717K)","1979
2h 27m
(Banned)"
"https://m.media-amazon.com/images/M/MV5BNDZlNDE0YzctNGQxNC00N2QwLTg3ZjYtOTRlNzZkYzlmNTU0XkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR3,0,140,207_.jpg",57. 메멘토,"8.4
 (1.3M)","2000
1h 53m
15"
"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",58. 월-E,"8.4
 (1.2M)","2008
1h 38m
All"
"https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_QL75_UY207_CR1,0,140,207_.jpg",59. 레이더스,"8.4
 (1M)","1981
1h 55m
12"
"https://m.media-amazon.com/images/M/MV5BZDI4OTM1ZjMtOWQxMC00OTY5LTg3NjQtMjlhMWVjODFlYTY4XkEyXkFqcGdeQXVyMTYzMTU3Njgx._V1_QL75_UY207_CR9,0,140,207_.jpg",60. 12th Fail,"8.9
 (124K)","2023
2h 27m"
"https://m.media-amazon.com/images/M/MV5BMDc3ODgzYTgtMWE4ZS00NzQ3LTk0OWQtN2FkOTU3YmFjMzZmXkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR3,0,140,207_.jpg",61. 타인의 삶,"8.4
 (414K)","2006
2h 17m
15"
"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_QL75_UX140_CR0,2,140,207_.jpg",62. Sunset Blvd.,"8.4
 (239K)","1950
1h 50m
15"
"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX140_CR0,0,140,207_.jpg",63. 어벤져스: 인피니티 워,"8.4
 (1.2M)","2018
2h 29m
12"
"https://m.media-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX140_CR0,3,140,207_.jpg",64. Paths of Glory,"8.4
 (215K)","1957
1h 28m
15"
"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX140_CR0,0,140,207_.jpg",65. 스파이더맨: 뉴 유니버스,"8.4
 (686K)","2018
1h 57m
12"
"https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX140_CR0,3,140,207_.jpg",66. Witness for the Prosecution,"8.4
 (140K)","1957
1h 56m
12"
"https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,3,140,207_.jpg",67. 샤이닝,"8.4
 (1.1M)","1980
2h 26m
(Banned)"
"https://m.media-amazon.com/images/M/MV5BNjY0YzgxNGMtODI4ZS00NzJlLTgyMDEtMDRmZWRmODhkZDMwXkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR3,0,140,207_.jpg",68. The Great Dictator,"8.4
 (239K)","1940
2h 5m
All"
"https://m.media-amazon.com/images/M/MV5BOGJkY2EyOWYtYWRmNy00ZTEzLTllMDAtYzYzYjA0ZjFhZWJjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg",69. Aliens,"8.4
 (772K)","1986
2h 17m
12"
"https://m.media-amazon.com/images/M/MV5BZDhmZWVkNzQtOGY1OS00ZjE3LTkwZGYtZTM5ODdlZDU4MWI4XkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR3,0,140,207_.jpg",70. 바스터즈: 거친 녀석들,"8.4
 (1.6M)","2009
2h 33m
18"
"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",71. Dakeu naiteu raijeu,"8.4
 (1.8M)","2012
2h 44m
15"
"https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_QL75_UY207_CR3,0,140,207_.jpg",72. 코코,"8.4
 (605K)","2017
1h 45m
All"
"https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX140_CR0,5,140,207_.jpg",73. 아마데우스,"8.4
 (432K)","1984
2h 40m
All"
"https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,5,140,207_.jpg",74. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"8.3
 (522K)","1964
1h 35m
12"
"https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",75. Oldeuboi,"8.3
 (645K)","2003
2h
18"
"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_QL75_UX140_CR0,1,140,207_.jpg",76. Toy Story,"8.3
 (1.1M)","1995
1h 21m
All"
"https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",77. 아메리칸 뷰티,"8.3
 (1.2M)","1999
2h 2m
18"
"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",78. 어벤져스: 엔드게임,"8.4
 (1.3M)","2019
3h 1m
12"
"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR0,0,140,207_.jpg",79. Braveheart,"8.3
 (1.1M)","1995
2h 58m
15"
"https://m.media-amazon.com/images/M/MV5BNDBjMWUxNTUtNjZiNi00YzJhLTgzNzUtMTRiY2FkZmMzYTNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,2,140,207_.jpg",80. The Boat,"8.4
 (266K)","1981
2h 29m
15"
